Pokemon,No.,Caught?,Ruby,Sapphire,Leafgreen,Firered,Emerald,Colosseum,XD: Gale of Darkness
Poochyena,261,FALSE,"Routes 101, 102 & 103","Routes 101, 102 & 103",Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,"Routes 101, 102, 103, 104, 110, 116, 117, 120, 121 & 123, Petalburg Woods",Trade from Ruby/Sapphire/Emerald/XD,Snagged from Bodybuilder Kilen in Gateon Port
Mightyena,262,FALSE,Evolve Poochyena,Evolve Poochyena,Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,"Routes 120, 121 & 123",Trade from Ruby/Sapphire/Emerald/XD,Evolve Poochyena
Zigzagoon,263,FALSE,"Routes 101, 102, 103, 104, 110, 116, 117, 120, 121 & 123, Petalburg Woods","Routes 101, 102, 103, 104, 110, 116, 117, 120, 121 & 123, Petalburg Woods",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,"Routes 101, 102, 103, 118 & 119",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Linoone,264,FALSE,"Routes 118, 119, 120, 121 & 123","Routes 118, 119, 120, 121 & 123",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Routes 118 & 119,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Wurmple,265,FALSE,"Routes 101, 102 & 104, Petalburg Woods","Routes 101, 102 & 104, Petalburg Woods",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,"Routes 101, 102 & 104, Petalburg Woods",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Silcoon,266,FALSE,Petalburg Woods,Petalburg Woods,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Petalburg Woods,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Beautifly,267,FALSE,Evolve Silcoon,Evolve Silcoon,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Evolve Silcoon,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Cascoon,268,FALSE,Petalburg Woods,Petalburg Woods,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Petalburg Woods,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Dustox,269,FALSE,Evolve Cascoon,Evolve Cascoon,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Evolve Cascoon,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Lotad,270,FALSE,Trade from Sapphire/Emerald,Routes 102 & 114,Trade from Sapphire/Emerald,Trade from Sapphire/Emerald,Routes 102 & 114,Trade from Sapphire/Emerald,Trade from Sapphire/Emerald
Lombre,271,FALSE,Trade from Sapphire/Emerald,Route  114,Trade from Sapphire/Emerald,Trade from Sapphire/Emerald,Route 114,Trade from Sapphire/Emerald,Trade from Sapphire/Emerald
Ludicolo,272,FALSE,Trade from Sapphire/Emerald,Evolve Lombre,Trade from Sapphire/Emerald,Trade from Sapphire/Emerald,Evolve Lombre,Trade from Sapphire/Emerald,Trade from Sapphire/Emerald
Seedot,273,FALSE,Routes 102 & 114,Trade from Ruby/Emerald/XD,Trade from Ruby/Emerald/XD,Trade from Ruby/Emerald/XD,"Routes 102, 117 & 120",Trade from Ruby/Emerald/XD,Snagged from Cipher Peon Greesix in Cipher Lab
Nuzleaf,274,FALSE,Route 114,Trade from Ruby/Emerald/XD,Trade from Ruby/Emerald/XD,Trade from Ruby/Emerald/XD,Route 114,Trade from Ruby/Emerald/XD,Evolve Seedot
Shiftry,275,FALSE,Evolve Nuzleaf,Trade from Ruby/Emerald/XD,Trade from Ruby/Emerald/XD,Trade from Ruby/Emerald/XD,Evolve Nuzleaf,Trade from Ruby/Emerald/XD,Evolve Nuzleaf
Taillow,276,FALSE,"Routes 104, 115 & 116, Petalburg Woods","Routes 104, 115 & 116, Petalburg Woods",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,"Routes 104, 115 & 116, Petalburg Woods",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Swellow,277,FALSE,Route 115,Route 115,Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,Route 115,Trade from Ruby/Sapphire/Emerald/XD,Snagged from Cipher Admin Ardos in Citadark Isle
Wingull,278,FALSE,"Routes 103, 104, 110, 115, 118, 121 & 123, Mt. Pyre (Grass), Routes 103, 104, 105, 106, 107, 108, 109, 110, 115, 118, 119, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133 & 134, Dewford Town, EverGrande City, Lilycove City, Mossdeep City, Pacifidlog City, Slateport City (Surf)","Routes 103, 104, 110, 115, 118, 121 & 123, Mt. Pyre (Grass), Routes 103, 104, 105, 106, 107, 108, 109, 110, 115, 118, 119, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133 & 134, Dewford Town, EverGrande City, Lilycove City, Mossdeep City, Pacifidlog City, Slateport City (Surf)",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,"Routes 103, 104, 110, 115, 118, 121 & 123, Mt. Pyre (Grass), Routes 103, 104, 105, 106, 107, 108, 109, 110, 115, 118, 119, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133 & 134, Dewford Town, EverGrande City, Lilycove City, Mossdeep City, Pacifidlog City, Slateport City (Surf)",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Pelipper,279,FALSE,"Routes 103, 104, 105, 106, 107, 108, 109, 110, 115, 118, 119, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133 & 134, Dewford Town, EverGrande City, Lilycove City, Mossdeep City, Pacifidlog City, Slateport City (Surf)","Routes 103, 104, 105, 106, 107, 108, 109, 110, 115, 118, 119, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133 & 134, Dewford Town, EverGrande City, Lilycove City, Mossdeep City, Pacifidlog City, Slateport City (Surf)",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,"Routes 103, 104, 105, 106, 107, 108, 109, 110, 115, 118, 119, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133 & 134, Dewford Town, EverGrande City, Lilycove City, Mossdeep City, Pacifidlog City, Slateport City (Surf)",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Ralts,280,FALSE,Route 102,Route 102,Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,Route 102,Trade from Ruby/Sapphire/Emerald/XD,Snagged from Cipher Peon Feldas in ONBS Station Top
Kirlia,281,FALSE,Evolve Ralts,Evolve Ralts,Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,Evolve Ralts,Trade from Ruby/Sapphire/Emerald/XD,Evolve Ralts
Gardevoir,282,FALSE,Evolve Kirlia,Evolve Kirlia,Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,Evolve Kirlia,Trade from Ruby/Sapphire/Emerald/XD,Evolve Kirlia
Surskit,283,FALSE,"Routes 102, 114, 117 & 120 (Grass), Routes 102, 111, 114, 117, 120 (Surf)","Routes 102, 114, 117 & 120 (Grass), Routes 102, 111, 114, 117, 120 (Surf)",Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,"Newsflash Swarm in Routes 102, 114, 117, 120",Trade from Ruby/Sapphire/Emerald/XD,Oasis PokéSpot
Masquerain,284,FALSE,Evolve Surskit,Evolve Surskit,Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,Evolve Surskit,Trade from Ruby/Sapphire/Emerald/XD,Evolve Surskit
Shroomish,285,FALSE,Petalburg Woods,Petalburg Woods,Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,Petalburg Woods,Trade from Ruby/Sapphire/Emerald/XD,Snagged from Cipher R&D Klots in Cipher Lab
Breloom,286,FALSE,Evolve Shroomish,Evolve Shroomish,Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,Evolve Shroomish,Trade from Ruby/Sapphire/Emerald/XD,Evolve Shroomish
Slakoth,287,FALSE,Petalburg Woods,Petalburg Woods,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Petalburg Woods,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Vigoroth,288,FALSE,Evolve Slakoth,Evolve Slakoth,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Evolve Slakoth,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Slaking,289,FALSE,Evolve Vigoroth,Evolve Vigoroth,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Evolve Vigoroth,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Nincada,290,FALSE,Route 116,Route 116,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Route 116,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Ninjask,291,FALSE,Evolve Nincada,Evolve Nincada,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Evolve Nincada,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Shedinja,292,FALSE,Evolve Nincada,Evolve Nincada,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Evolve Nincada,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Whismur,293,FALSE,"Route 116, Rusturf Tunnel, Victory Road","Route 116, Rusturf Tunnel, Victory Road",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,"Route 106, Desert Underpass, Rusturf Tunnel, Victory Road",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Loudred,294,FALSE,Victory Road Floor 1,Victory Road Floor 1,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,"Desert Underpass, Victory Road Floor 1",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Exploud,295,FALSE,Evolve Loudred,Evolve Loudred,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Evolve Loudred,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Makuhita,296,FALSE,"Granite Cave Floor 1 & Basement 1, Victory Road Floor 1","Granite Cave Floor 1 & Basement 1, Victory Road Floor 1",Trade from Ruby/Sapphire/Emerald/Colosseum/XD,Trade from Ruby/Sapphire/Emerald/Colosseum/XD,"Granite Cave Floor 1 & Basement 1, Victory Road Floor 1",Snagged from Miror B. Peon Trudly in Mayor's House in Phenac City,Snagged from Cipher Peon Torkin in ONBS Station
Hariyama,297,FALSE,Victory Road Floor 1 & Basement 1,Victory Road Floor 1 & Basement 1,Trade from Ruby/Sapphire/Emerald/Colosseum/XD,Trade from Ruby/Sapphire/Emerald/Colosseum/XD,Victory Road Floor 1 & Basement 1,Evolve Makuhita,Evolve Makuhita
Azurill,298,FALSE,Breed Marill/Azumarill with Sea Incense attached,Breed Marill/Azumarill with Sea Incense attached,Breed Marill/Azumarill with Sea Incense attached,Trade from Ruby/Sapphire/Emerald/LeafGreen,Breed Marill/Azumarill with Sea Incense attached,Trade from Ruby/Sapphire/Emerald/LeafGreen,Trade from Ruby/Sapphire/Emerald/LeafGreen
Nosepass,299,FALSE,Granite Cave Basement 2 (Rock Smash),Granite Cave Basement 2 (Rock Smash),Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,Granite Cave Basement 2 (Rock Smash),Trade from Ruby/Sapphire/Emerald/XD,Snagged from Wanderer Miror. B in Phenac Stadium
Skitty,300,FALSE,Route 116,Route 116,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Route 116,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Delcatty,301,FALSE,Evolve Skitty,Evolve Skitty,Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,Evolve Skitty,Trade from Ruby/Sapphire/Emerald/XD,Snagged from Cipher Admin Lovrina in Cipher Lab
Sableye,302,FALSE,Trade from Sapphire/Emerald/XD,"Cave of Origin Floor 1 & Basements 1, 2 & 3, Granite Cave Basements 1 & 2, Sky Pillar Floors 1, 3 & 5, Victory Road Basement 2",Trade from Sapphire/Emerald/XD,Trade from Sapphire/Emerald/XD,"Cave of Origin Floor 1 & Basements 1, 2 & 3, Granite Cave Basements 1 & 2, Sky Pillar Floors 1, 3 & 5, Victory Road Basement 2",Trade from Sapphire/Emerald/XD,Snagged from Navigator Abson in Citadark Isle
Mawile,303,FALSE,"Cave of Origin Floor 1 & Basements 1, 2 & 3, Granite Cave Basements 1 & 2, Sky Pillar Floors 1, 3 & 5, Victory Road Basement 2",Trade from Ruby/Emerald/XD,Trade from Ruby/Emerald/XD,Trade from Ruby/Emerald/XD,Victory Road Basements 1 & 2,Trade from Ruby/Emerald/XD,Snagged from Cipher Cmdr. Exol in ONBS Station Top
Aron,304,FALSE,"Granite Cave Floor 1 South & Basements 1 & 2, Victory Road Floor 1","Granite Cave Floor 1 South & Basements 1 & 2, Victory Road Floor 1",Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,"Granite Cave Floor 1 South & Basements 1 & 2, Victory Road Floor 1",Trade from Ruby/Sapphire/Emerald/XD,Cave PokéSpot
Lairon,305,FALSE,Victory Road Floor 1 & Basements 1 & 2,Victory Road Floor 1 & Basements 1 & 2,Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,Victory Road Floor 1 & Basements 1 & 2,Trade from Ruby/Sapphire/Emerald/XD,Evolve Aron
Aggron,306,FALSE,Evolve Lairon,Evolve Lairon,Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,Evolve Lairon,Trade from Ruby/Sapphire/Emerald/XD,Evolve Lairon
Meditite,307,FALSE,"Mt. Pyre Grass, Victory Road Basement 1","Mt. Pyre Grass, Victory Road Basement 1",Trade from Ruby/Sapphire/Colosseum/XD,Trade from Ruby/Sapphire/Colosseum/XD,Trade from Ruby/Sapphire/Colosseum/XD,Snagged from Rider Twan in Pyrite Cave,Trade for Trapinch with Duking in Pyrite Town
Medicham,308,FALSE,Victory Road Basements 1 & 2,Victory Road Basements 1 & 2,Trade from Ruby/Sapphire/Colosseum/XD,Trade from Ruby/Sapphire/Colosseum/XD,Trade from Ruby/Sapphire/Colosseum/XD,Evolve Meditite,Evolve Meditite
Electrike,309,FALSE,Routes 110 & 118,Routes 110 & 118,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Routes 110 & 118,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen/Colosseum
Manectric,310,FALSE,Route 118,Route 118,Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,Route 118,Trade from Ruby/Sapphire/Emerald/XD,Snagged from Cipher Admin Eldes in Citadark Isle
Plusle,311,FALSE,Route 110,Route 110,Trade from Ruby/Sapphire/Emerald/Colosseum,Trade from Ruby/Sapphire/Emerald/Colosseum,Route 110,Obtained from Duking in Pyrite Town,Trade from Ruby/Sapphire/Emerald/Colosseum
Minun,312,FALSE,Route 110,Route 110,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Route 110,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Volbeat,313,FALSE,Route 117,Route 117,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Route 117,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Illumise,314,FALSE,Route 117,Route 117,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Route 117,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Roselia,315,FALSE,Route 117,Route 117,Trade from Ruby/Sapphire/XD,Trade from Ruby/Sapphire/XD,Trade from Ruby/Sapphire/XD,Trade from Ruby/Sapphire/XD,Snagged from Cipher Peon Fasin in Phenac Training School
Gulpin,316,FALSE,Route 110,Route 110,Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,Route 110,Trade from Ruby/Sapphire/Emerald/XD,Snagged from Cipher Peon Purpsix in Cipher Lab
Swalot,317,FALSE,Evolve Gulpin,Evolve Gulpin,Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,Evolve Gulpin,Trade from Ruby/Sapphire/Emerald/XD,Evolve Gulpin
Carvanha,318,FALSE,Routes 118 & 119 (Fish),Routes 118 & 119 (Fish),Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,Routes 118 & 119 (Fish),Trade from Ruby/Sapphire/Emerald/XD,Snagged from Cipher Peon Cabol in Cipher Lab
Sharpedo,319,FALSE,"Routes 103, 118, 122, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, Mossdeep City, Pacifidlog Town (Fish)","Routes 103, 118, 122, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, Mossdeep City, Pacifidlog Town (Fish)",Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,"Routes 103, 118, 122, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, Mossdeep City, Pacifidlog Town (Fish)",Trade from Ruby/Sapphire/Emerald/XD,Evolve Carvanha
Wailmer,320,FALSE,"Routes 103, 105, 106, 107, 108, 109, 110, 115, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133 & 134, Dewford Town, EverGrande City, Lilycove City, Mossdeep City, Pacifidlog Town, Seafloor Cavern, Shoal Cave, Slateport City (Fish)","Routes 103, 105, 106, 107, 108, 109, 110, 115, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133 & 134, Dewford Town, EverGrande City, Lilycove City, Mossdeep City, Pacifidlog Town, Seafloor Cavern, Shoal Cave, Slateport City (Fish)",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,"Routes 103, 105, 106, 107, 108, 109, 110, 115, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133 & 134, Dewford Town, EverGrande City, Lilycove City, Mossdeep City, Pacifidlog Town, Seafloor Cavern, Shoal Cave, Slateport City (Fish)",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Wailord,321,FALSE,Route 129 (Surf),Route 129 (Surf),Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Route 129 (Surf),Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Numel,322,FALSE,"Route 112, Fiery Path, Jagged Pass","Route 112, Fiery Path, Jagged Pass",Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,"Route 112, Fiery Path, Jagged Pass",Trade from Ruby/Sapphire/Emerald/XD,Snagged from Cipher Peon Solox in Cipher Lab
Camerupt,323,FALSE,Evolve Numel,Evolve Numel,Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,Evolve Numel,Trade from Ruby/Sapphire/Emerald/XD,Evolve Numel
Torkoal,324,FALSE,Fiery Path,Fiery Path,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,"Fiery Path, Magma Hideout",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Spoink,325,FALSE,Jagged Pass,Jagged Pass,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Jagged Pass,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Grumpig,326,FALSE,Evolve Spoink,Evolve Spoink,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Evolve Spoink,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Spinda,327,FALSE,Route 113,Route 113,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Route 113,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Trapinch,328,FALSE,Route 111 (Desert),Route 111 (Desert),Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,"Route 111 (Desert), Mirage Tower",Trade from Ruby/Sapphire/Emerald/XD,RockGround PokéSpot
Vibrava,329,FALSE,Evolve Trapinch,Evolve Trapinch,Trade from Ruby/Sapphire/Emerald/Colosseum/XD,Trade from Ruby/Sapphire/Emerald/Colosseum/XD,Evolve Trapinch,Snagged from Cipher Peon Remil in Cipher Lab,Evolve Trapinch
Flygon,330,FALSE,Evolve Vibrava,Evolve Vibrava,Trade from Ruby/Sapphire/Emerald/Colosseum/XD,Trade from Ruby/Sapphire/Emerald/Colosseum/XD,Evolve Vibrava,Evolve Vibrava,Evolve Vibrava
Cacnea,331,FALSE,Route 111 (Desert),Route 111 (Desert),Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Route 111 (Desert),Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Cacturne,332,FALSE,Evolve Cacnea,Evolve Cacnea,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Evolve Cacnea,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Swablu,333,FALSE,Routes 114 & 115,Routes 114 & 115,Trade from Ruby/Sapphire/Emerald/Colosseum,Trade from Ruby/Sapphire/Emerald/Colosseum,Routes 114 & 115,Snagged from Hunter Zalo in Pyrite Cave,Trade from Ruby/Sapphire/EmeraldColosseum
Altaria,334,FALSE,Sky Pillar Floor 5,Sky Pillar Floor 5,Trade from Ruby/Sapphire/Emerald/Colosseum/XD,Trade from Ruby/Sapphire/Emerald/Colosseum/XD,Sky Pillar Floor 5,Evolve Swablu,Snagged from Cipher Admin Lovrina in Citadark Isle
Zangoose,335,FALSE,Route 114,Trade from Ruby/XD,Trade from Ruby/XD,Trade from Ruby/XD,Trade from Ruby/XD,Trade from Ruby/XD,Snagged from Thug Zook in Cipher Key Lair
Seviper,336,FALSE,Trade from Sapphire/Emerald,Route 114,Trade from Sapphire/Emerald,Trade from Sapphire/Emerald,Route 114,Trade from Sapphire/Emerald,Trade from Sapphire/Emerald
Lunatone,337,FALSE,Trade from Sapphire/XD,Meteor Falls (Cave & Surf),Trade from Sapphire/XD,Trade from Sapphire/XD,Trade from Sapphire/XD,Trade from Sapphire/XD,Snagged from Cipher Admin Snattle in Phenac Stadium
Solrock,338,FALSE,Meteor Falls (Cave & Surf),Trade from Ruby/Emerald/XD,Trade from Ruby/Emerald/XD,Trade from Ruby/Emerald/XD,Meteor Falls (Cave & Surf),Trade from Ruby/Emerald/XD,Snagged from Cipher Admin Snattle in Citadark Isle
Barboach,339,FALSE,"Routes 111, 114 & 120, Meteor Falls, Victory Road Basement 2 (Fish)","Routes 111, 114 & 120, Meteor Falls, Victory Road Basement 2 (Fish)",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,"Routes 111, 114 & 120, Meteor Falls, Victory Road Basement 2 (Fish)",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Whiscash,340,FALSE,"Meteor Falls, Victory Road Basement 2 (Fish)","Meteor Falls, Victory Road Basement 2 (Fish)",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,"Meteor Falls, Victory Road Basement 2 (Fish)",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald/
Corphish,341,FALSE,"Routes 102 & 117, Petalburg City (Fish)","Routes 102 & 117, Petalburg City (Fish)",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,"Routes 102 & 117, Petalburg City (Fish)",Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Crawdaunt,342,FALSE,Evolve Corphish,Evolve Corphish,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Evolve Corphish,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Baltoy,343,FALSE,Route 111 (Desert),Route 111 (Desert),Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,Route 111 (Desert),Trade from Ruby/Sapphire/Emerald/XD,Snagged from Cipher Peon Browsix in Cipher Lab
Claydol,344,FALSE,"Sky Pillar Floors 1, 3 & 5","Sky Pillar Floors 1, 3 & 5",Trade from Ruby/Sapphire/Emerald/XD,Trade from Ruby/Sapphire/Emerald/XD,"Sky Pillar Floors 1, 3 & 5",Trade from Ruby/Sapphire/Emerald/XD,Evolve Baltoy
Lileep,345,FALSE,Revive From Root Fossil,Revive From Root Fossil,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Revive From Root Fossil,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Cradily,346,FALSE,Evolve Lileep,Evolve Lileep,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Evolve Lileep,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Anorith,347,FALSE,Revive From Claw Fossil,Revive From Claw Fossil,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Revive From Claw Fossil,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Armaldo,348,FALSE,Evolve Anorith,Evolve Anorith,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Evolve Anorith,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Feebas,349,FALSE,Route 119 *Random Six Tiles which is Randomly Changed whenever Trendy Phrase changes*,Route 119 *Random Six Tiles which is Randomly Changed whenever Trendy Phrase changes*,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Route 119 *Random Six Tiles which is Randomly Changed whenever Trendy Phrase changes*,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Milotic,350,FALSE,Evolve Feebas,Evolve Feebas,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Evolve Feebas,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Castform,351,FALSE,Obtained in Weather Research Institute,Obtained in Weather Research Institute,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Obtained in Weather Research Institute,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
